,Product,Category,Ingredients
5358,"Colgate Sensitive Whitening Toothpaste, Fresh Mint Rating",Toothpaste,INACTIVE INGREDIENTS: WATER  HYDRATED SILICA  GLYCERIN  SORBITOL  PEG-12  PVM/MA COPOLYMER  SODIUM LAURYL SULFATE  FLAVOR  POLOXAMER 407  TRISODIUM PHOSPHATE  SODIUM HYDROXIDE  CELLULOSE GUM  SODIUM SACCHARIN  XANTHAN GUM  TITANIUM DIOXIDE  FD&C BLUE NO. 1
5359,"Topcare Glowing White Anticavity Mouthrinse, Fresh Mint (2019",Mouthwash,Active Ingredients: Sodium Fluoride (0.01% W/V Fluoride Ion) 0.02%; Inactive Ingredients: WATER  ALCOHOL (8%)  HYDROGEN PEROXIDE  POLOXAMER 407  SODIUM SACCHARIN  SUCRALOSE  MENTHOL  PHOSPHORIC ACID  DISODIUM PHOSPHATE  FLAVOR
5360,"Colgate Whitening Toothpaste, Brisk Mint Rating",Toothpaste,GLYCERIN  HYDRATED SILICA  WATER  SODIUM BICARBONATE  PEG-12  SODIUM LAURYL SULFATE  FLAVOR  SODIUM HYDROXIDE  CELLULOSE GUM  CARRAGEENAN  SODIUM SACCHARIN  CALCIUM PEROXIDE  TITANIUM DIOXIDE
5361,Chap Ice Lip Repair Stick Rating,Lip Balm,OCTYLDODECANOL  RICINUS COMMUNIS (CASTOR) SEED OIL  SYNTHETIC BEESWAX  BIS-DIGLYCERYL POLYACYLADIPATE-2  PEG-40 HYDROGENATED CASTOR OIL  BUTYROSPERMUM PARKII (SHEA BUTTER)  DIMETHICONE  HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX  ASCORBYL PALMITATE  DEXPANTHENOL  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  TOCOPHEROL  WATER  TOCOPHERYL ACETATE  FLAVOR
5362,Degree MotionSense Invisible Solid Sexy Intrigue Anti-Perspirant &,Antiperspirant/Deodorant,INACTIVE INGREDIENTS: CYCLOPENTASILOXANE  STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  POLYETHYLENE  CAPRYLIC/CAPRIC TRIGLYCERIDE  SODIUM STARCH OCTENYLSUCCINATE  MALTODEXTRIN  HYDRATED SILICA  HYDROLYZED CORN STARCH  GELATIN CROSSPOLYMER  BHT  SILICA  CELLULOSE GUM
5363,Abra Therapeutics Foot Revival Cream (2019 formulation) Rating,Foot Moisturizer,PURIFIED WATER  ORGANIC SUNFLOWER OIL (HELIANTHUS ANNUUS)  STEARIC ACID (COCONUT)  ORGANIC JOJOBA OIL (SIMMONDSIA CHINENSIS)  GLYCERYL STEARATE AND CETYL ESTERS (COCONUT BUTTERS)  VEGETABLE GLYCERIN  GARCINIA SEED BUTTER (G. INDICA)  THEOBROMA CACAO (COCO BUTTER)  BUTYROSPERMUM PARKII (SHEA BUTTER)  SHOREA STENOPTERA (ILLIPE BUTTER)  ARNICA (ARNICA MONTANA)  WHITE WILLOW (SALIX ALBA)  LEMON BALM (MELISSA OFFICINALIS)  ORGANIC ESSENTIAL OILS OF PEPPERMINT (MENTHE PIPERITA)  SAGE (SALVIA OFFICINALIS)  TEA TREE (MELALEUCA ALTERNIAFOLIA)  ROSEMARY (R. OFFICINALIS)  EUCALYPTUS (E. CITRIODORA)  CLOVE (SYZYGIUM AROMATICUM)  VITAMIN E  ASPEN BARK (POPULUS TREMULOIDES)  XANTHAN GUM  SODIUM PCA  POTASSIUM SORBATE  SODIUM BENZOATE  BLACK CURRENT (RIBES NIGRUM).
5364,"Balm Standard, Blood Orange & Tangerine Rating",Lip Balm,ORGANIC BEESWAX*  ORGANIC COCONUT OIL*  ORGANIC SWEET ALMOND OIL*  ORGANIC SUNFLOWER SEED OIL*  ORGANIC COCOA BUTTER*  ORGANIC JOJOBA OIL*  SHEA BUTTER  MANGO BUTTER  ORGANIC OLIVE OIL*  NATURAL VITAMIN E OIL  ORGANIC TANGERINE PEEL OIL*  ORGANIC BLOOD ORANGE PEEL OIL*  ORGANIC FLAVOR*.
5365,"Hello Deodorant with Activated Charcoal, Fresh + Clean Rating",Antiperspirant/Deodorant,maranta arundinacea (arrowroot) root powder (absorbant)  caprylic/capric triglyceride (skin conditioning)  stearyl alcohol (base)  butyrospermum parkii (shea) butter (skin conditioning)  cocos nucifera (coconut) oil (skin conditioning)  triethyl citrate (deodorant)  copernicia cerifera (carnauba) wax (base)  theobroma cacao (cocoa) seed butter (moisturizer)  fragrance (odor protection)  oryza sativa (rice) bran wax (base)  helianthus annuus (sunflower) seed wax (skin conditioning)  magnesium hydroxide (odor protection)  silica (absorbant)  zinc ricinoleate (deodorant)  tocopheryl acetate (antioxidant) and melaleuca alternifolia (tea tree) leaf oil (odor protection)
5366,Lique Pure Hemp Lip Balm Rating,Lip Balm,Ethylhexyl Palmitate; Tridecyl trimellitate; Caprylic/Capric Triglyceride; Petrolatum ; Ceresin; Paraffin; Isononyl isononanoate; polyisobutene; Microcrystalline Wax; COCOS NUCIFERA (COCONUT) OIL; SIMMONDSIA CHINENSIS SEED OIL; THEOBROMA CACAO SEED; BUTTER; Phenoxyethanol; Tocopheryl Acetate; Fragrance
5367,"O'Keeffe's Working Hands Moisturizing Liquid Hand Soap for Dry Skin,",Liquid Hand Soap,Water  Glycerin  Sodium Cocoyl Isethionate  Acrylates Copolymer  Cocamidopropyl Betaine  PEG-7 Glyceryl Cocoate  Stearic Acid  Cocamide MEA  Glycol Distearate  Prunus Amygdalus Dulcis (Sweet Almond) Oil  Polyquaternium-7  Propylene Glycol  Dipentaerythrityl Hexa C5-9 Acid Esters  Disodium EDTA  Sodium Hydroxide  Coconut Acid  Sodium Isethionate  Iodopropynyl Butylcarbamate  Diazolidinyl Uread
5368,Go Green Hemp Rapid Relief Cbd 150 Mg Infused Freeze Roll On Rating,Muscle/Joint Soreness,CBD  WATER  GLYCERIN  CAPRYLIC/CAPRIC TRIGLYCERIDE  BUTYLENE GLYCOL  1 2-HEXANEDIOL  POLYSORBATE  CBD  CETEARYL ALCOHOL  CARBOMER  DIMETHYL SULFONE  SODIUM HYALURONATE  DISODIUM EDTA  MENTHOL  MENTHYL LACTATE  GLYCERYL STEARATE  PEG-100 STEARATE  POTASSIUM HYDROXIDE  LYCIUM CHINENSE FRUIT EXTRACT  MORUS ALBA LEAF EXTRACT  ARTEMISIA PRINCEPS LEAF EXTRACT  ANGELICA GIGAS ROOT EXTRACT  PANAX GINSENG ROOT EXTRACT  CINNAMOMUM CASSIA BARK EXTRACT  POLYGONATUM ODORATUM EXTRACT  CNIDIUM OFFICINALE ROOT EXTRACT  CUSCUTA JAPONICA SEED EXTRACT  CENTELLA ASIATICA EXTRACT  MELALEUCA ALTERNIFOLIA (TEA TREE) EXTRACT  EUCALYPTUS GLOBULUS LEAF EXTRACT  BLETILLA STRIATA ROOT EXTRACT  PORIA COCOS EXTRACT  ANGELICA DAHURICA ROOT EXTRACT  LAURUS NOBILIS LEAF EXTRACT
5369,"Mitchum Women Antiperspirant Deodorant Gel, Shower Fresh Rating",Antiperspirant/Deodorant,Aluminum Sesquichlorohydrate 25.0%  Inactive: Water  Cyclopentasiloxane  Dimethicone  Dipropylene Glycol  Glycerin  PEG/PPG-18/18 Dimethicone  Fragrance  Alpha-Isomethyl Ionone  Citronellol
5370,"Colgate Anticavity, Antigingivitis and Antisensitivity Whitening",Toothpaste,Active Ingredients: FLUORIDE ION 0.15%  STANNOUS FLUORIDE 0.454%; Inactive Ingredients: WATER  SORBITOL  HYDRATED SILICA  GLYCERIN  PEG-12  TETRASODIUM PYROPHOSPHATE  FLAVOR  SODIUM LAURYL SULFATE  ZINC PHOSPHATE  CALLULOSE GUM  SODIUM CITRATE  MICROCRYSTALLINE CELLILOSE  SODIUM SACCHARIN  COCAMIDOPROPYL BETAINE  XANTHAN GUM  CITRIC ACID  SUCRALOSE  TITANIUM DIOXIDE.
5371,"Andalou Naturals Botanical Deodorant, Coconut Lime (2019 formulation)",Antiperspirant/Deodorant,"Caprylic/Capric Triglyceride  Maranta Arundinacea (Arrowroot) Root Powder  Cetyl Alcohol  Butyrospermum Parkii (Shea) Butter*â€   Polyglyceryl-3 Polyricinoleate  Sodium Bicarbonate  Cocos Nucifera (Coconut) Oil*  Fruit Stem Cells [Malus Domestica (Apple) Fruit Cell Culture Extract  Vitis Vinifera (Grape) Fruit Cell Extract] and BioActive Berry Complex [Euterpe Oleracea (Acai) Fruit Extract*  Aronia Melanocarpa Fruit Extract*  Lycium Barbarum (Goji) Fruit Extract*]  Hydrogenated Castor Oil  Glyceryl Stearate  Bacillus Coagulans  Tocopherol  Glyceryl Caprylate  Glyceryl Undecylenate  Cocos Nucifera (Coconut) Water*  Bisabolol  Camellia Sinensis (White Tea) Leaf Extract*â€   Coconut Isolates (Triethyl Citrate  Gamma Octalactone)  Citrus Aurantifolia (Lime) Peel Oil*  Mentha Spicata (Spearmint) Leaf Oil* Limonene**  Linalool**
*Certified Organic Ingredients **Component of Essential Oil â€ Fair Trade Ingredients"
5372,"J.R. Watkins Hand Soap, Cherry Blossom Rating",Liquid Hand Soap,WATER/AQUA/EAU  SODIUM LAURYL SULFATE  COCAMIDOPROPYL BETAINE  SODIUM CHLORIDE  DECYL GLUCOSIDE  GLYCERIN  FRAGRANCE/PARFUM  CAPRYLYL/CAPRYL GLUCOSIDE  COCAMIDOPROPYL HYDROXYSULTAINE  MYRISTAMINE OXIDE  CITRIC ACID  GLUCONOLACTONE  SODIUM BENZOATE  CALENDULA OFFICINALIS FLOWER EXTRACT  AVENA SATIVA (OAT) MEAL EXTRACT  TOCOPHEROLS  ERGOCALCIFEROL  POTASSIUM SORBATE
5373,"Act Anticavity Fluoride Mouthwash Iced Berry, Iced Berry (2020",Mouthwash,WATER  SORBITOL  XYLITOL  PROPYLENE GLYCOL  POLOXAMER 407  TETRASODIUM PYROPHOSPHATE  SODIUM LAUROYL SARCOSINATE  SODIUM LAURATE  PEG-35 CASTOR OIL  SUCRALOSE  SODIUM PHOSPHATE  DISODIUM PHOSPHATE  POTASSIUM SORBATE  POLYSORBATE 20  FLAVOR  CETYLPYRIDINIUM CHLORIDE  CALCIUM DISODIUM EDTA  SODIUM BENZOATE  DIPOTASSIUM GLYCYRRHIZATE
5374,"Dr. Squatch Soap Co. Natural Hand & Body Lotion, Pine Tar Rating",Liquid Hand Soap,WATER  CAPRYLIC/CAPRIC TRIGLYCERIDE  PROPANEDIOL  BUTYROSPERMUM PARKII (SHEA) BUTTER  CETYL ALCOHOL  GLYCERYL CAPRYLATE  CETEARYL ALCOHOL  COCOS NUCIFERA (COCONUT) OIL  POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE  BETA-GLUCAN  TOCOPHEROL  CELLULOSE GUM  MICROCRYSTALLINE CELLULOSE  POTASSIUM CETYL PHOSPHATE  XANTHAN GUM  FRAGRANCE (PARFUM)  GLYCERYL UNDECYLENATE  BUTYLENE GLYCOL  CHARCOAL  GLYCERIN
5375,"Il Makiage, Infinity Long-Wear Matte Lip Cream Matte Candy Rating",Lip Balm,Isododecane  Mica  Dimethicone  Trimethylsiloxysilicate  Polybutene  Petrolatum  Cyclohexasiloxane  Kaolin  Disteardimonium hectorite  Bees wax (cera alba)  Silica dimethyl silylate  Glyceryl behenate/eicosadioate  Propylene glycol (carbonate in package)  Silica  Tocopherol  Tin oxide  Cyclopentasiloxane (flavor aroma)  Benzyl alcohol  Persea gratissima (avocado oil).May contain: Titanium dioxide (CI 77891)  Red 7 lake (ci 15850)  Red 28 lake (ci 45410)  Iron oxides (ci 77491)  Red 6 (ci 15850)  Red 21 lake (ci 45380)  Iron oxides (ci 77492)  Yellow 5 lake (ci 19140)  Iron oxides (ci 77499)  Blue 1 lake (ci 42090)  Carmine (ci 75470)  Yellow 6 lake (ci 15985.
5376,"Rvo Lip Balm, Vanilla Bean Rating",Lip Balm,MINERAL OIL  OZOKERITE  PETROLATUM  MICROCRYSTALLINE WAX  ISOPROPYL MYRISTATE  CERESIN  FLAVOR  COPERNICIA CERIFERA (CARNAUBA) WAX  TOCOPHERYL ACETATE  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  ALOE BARBADENSIS LEAF JUICE  SORBITAN OLEATE
5377,"Dove Men +Care 24 H Deodorant, Lime + Sage (2020 formulation) Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER (EAU)  GLYCERIN  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE (PARFUM)  STEARIC ACID  SIMETHICONE  DISODIUM EDTA  BHT  BENZYL ALCOHOL  BENZYL SALICYLATE  CITRAL  CITRONELLOL  COUMARIN  GERANIOL  LIMONENE  LINALOOL
5378,Soft & Dri Clinical Clinique (2019 formulation) Rating,Antiperspirant/Deodorant,CYCLOPENTASILOXANE  ALUMINUM ZIRCONIUM TRICHLOROHYDREX GLY  STEARYL ALCOHOL  ISOPROPYL PALMITATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  GLYCERYL STEARATE  PEG-100 STEARATE  C12-15 ALKYL BENZOATE  PHENYL TRIMETHICONE  LIMONENE  BENZYL BENZOATE  HEXYL CINNAMAL  CITRONELLOL  LINALOOL  CITRAL  ALPHA-ISOMETHYL IONONE  COUMARIN.
5379,"Colgate Co. Oh So Glowing Gel Toothpaste, Forever Mint Rating",Toothpaste,"Active Ingredients: Stannous Fluoride
(0.15% w/v fluoride ion) 0.454%; Inactive Ingredients: SORBITOL  WATER  HYDRATED SILICA  PEG-12  SODIUM LAURYL SULFATE  FLAVOR  TETRASODIUM PYROPHOSPHATE  POTASSIUM NITRATE  XANTHAN GUM  SODIUM SACCHARIN  COCAMIDOPROPYL BETAINE  CHARCOAL POWDER  BLUE 1."
5380,"ActivOn Topical Analgesic, Ultra Strength Joint & Muscle Rating",Muscle/Joint Soreness,Active Ingredients: Menthol 4.127% (Topical Analgesic)  Inactive Ingredients: Diazolidinyl Urea  Ethyl Alcohol  Iodopropynyl Butylcarbamate  Menthyl Lactate  Propylene Glycol  Sodium Stearate  Steareth 21  Tetrasodium EDTA  Triethanolamine  Water
5381,"Desert Essence Natural Neem Mouthwash, Cinnamint (2019 formulation)",Mouthwash,PURIFIED WATER  GLYCERIN  POLYSORBATE-80  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL  MELIA AZADIRACHTA LEAF EXTRACT (NEEM LEAF)  MELIA AZADIRACHTA BARK EXTRACT (NEEM BARK)  MENTHA PIPERITA (PEPPERMINT) LEAF/STEM OIL  CINNAMOMUM CASSIA LEAF OIL (CINNAMON)  ECHINACEA ANGUSTIFOLIA EXTRACT  CALENDULA OFFICINALIS FLOWER OIL  SALVIA OFFICINALIS (SAGE) OIL  COMMIPHORA MYRRHA OIL  HYDRASTIS CANADENSIS (GOLDENSEAL) EXTRACT  ANTHEMIS NOBILIS FLOWER OIL  ALOE BARBADENSIS LEAF JUICE  HAMAMELIS VIRGINIANA (WITCH HAZEL) EXTRACT  ASCORBIC ACID  CALCIUM ASCORBATE  ZINC CITRATE  MENTHA ARVENSIS LEAF OIL (WILD MINT)  EUGENIA CARYOPHYLLUS (CLOVE) LEAF OIL  PIPER NIGRUM (PEPPER) FRUIT OIL  XYLITOL  CITRIC ACID  PHYTIC ACID
5382,"Dove Care & Protect Antibacterial Liquid Hand Wash, 12 oz Rating",Liquid Hand Soap,Water (Aqua)  Sodium Lauroyl Glycinate  Cocamidopropyl Betaine  Sodium Lauroyl Isethionate  Sodium Chloride  Lauric Acid  Glycerin  Fragrance (Parfum)  Carbomer  Phenoxyethanol  Peg-150 Pentaerythrityl Tetrastearate  Glycol Distearate  Stearic Acid  Ppg-2 Hydroxyethyl Cocamide  Palmitic Acid  Sodium Benzoate  Tetrasodium Edta  Helianthus Annuus (Sunflower) Seed Oil  Iodopropynyl Butylcarbamate  Citric Acid  Geraniol  Limonene  Linalool
5383,"Degree Women Motionsense Motionsense, Anti Perspirant & Deodorant,",Antiperspirant/Deodorant,INACTIVE INGREDIENTS: CYCLOPENTASILOXANE  STEARYL ALCOHOL  C12-15 ALKYL BENZOATE  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  POLYETHYLENE  CAPRYLIC/CAPRIC TRIGLYCERIDE  SODIUM STARCH OCTENYLSUCCINATE  MALTODEXTRIN  HYDRATED SILICA  HYDROLYZED CORN STARCH  GELATIN CROSSPOLYMER  BHT  SILICA  CELLULOSE GUM.
5384,"CoverGirl Outlast Moisturizing Topcoat, Clear Rating",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  POLYBUTENE  CERA ALBA/BEESWAX  CERA MICROCRISTALLINA/MICROCRYSTALLINE WAX  SYNTHETIC WAX  TOCOPHERYL ACETATE  AROMA/FLAVOR  BUTYROSPERMUM PARKII (SHEA) BUTTER  PROPYLPARABEN  THEOBROMA CACAO (COCOA) SEED BUTTER  ALOE BARBADENSIS LEAF EXTRACT  COCOS NUCIFERA (COCONUT) OIL  SODIUM SACCHARIN  TOCOPHEROL  OLUS OIL/VEGETABLE OIL
5385,"Ever Spring Foaming Hand Soap, Mandarin & Ginger (2020 formulation)",Liquid Hand Soap,MADE OF: WATER  SODIUM LAURYL SULFATE (PLANT-DERIVED)  PROPANEDIOL (PLANT-DERIVED)  DECYL GLUCOSIDE (PLANT-DERIVED)  COCO-GLUCOSIDE (PLANT-DERIVED)  SORBITAN OLEATE DECYLGLUCOSIDE CROSSPOLYMER (PLANT-DERIVED)  SODIUM CITRATE (PLANT-DERIVED)  GLYCERYL OLEATE (PLANT-DERIVED)  GLUCONIC ACID (PLANT-DERIVED)  GLYCERYL CAPRYLATE (PLANT-DERIVED)  GLYCERYL UNDECYLENATE (PLANT-DERIVED)  CITRIC ACID (PLANT-DERIVED)  POTASSIUM SORBATE (SYNTHETIC)  FRAGRANCE. (PARENTHESIS STATE SOURCE OF INGREDIENT).
5386,"Dove Deodorant, Cotton Flower & Sandalwood Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER  GLYCERIN  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE  STEARIC ACID  DISODIUM EDTA  BHT  SIMETHICONE  ALPHA-ISOMETHYL IONONE  BENZYL ALCOHOL  BENZYL SALICYLATE  CITRONELLOL  COUMARIN  LIMONENE  LINALOOL
5387,"Everspring Liquid Hand Soap, Black Pepper & Balsam Rating",Liquid Hand Soap,WATER  SODIUM COCO-SULFATE (PLANT-DERIVED)  LAURYL GLUCOSIDE (PLANT-DERIVED)  DECYL GLUCOSIDE (PLANT-DERIVED)  GLYCERYL CAPRYLATE/CAPRATE (PLANT-DERIVED)  SODIUM CHLORIDE (MINERAL-BASED)  COCO-GLUCOSIDE (PLANT-DERIVED)  GLYCERYL OLEATE (PLANT-DERIVED)  CITRIC ACID (PLANT-DERIVED)  TETRASODIUM GLUTAMATE DIACETATE (PLANT-DERIVED)  MAGNESIUM CHLORIDE (MINERAL-BASED)  POTASSIUM SORBATE (SYNTHETIC)  SODIUM BENZOATE (SYNTHETIC)  FRAGRANCE. (PARENTHESIS STATE SOURCE OF INGREDIENT).
5388,"Soap & Glory Treat My Lips Sugar Melting Exfoliating Balm, Scrub Rating",Lip Balm,BIS-DIGLYCERYL POLYACYLADIPATE-2  SUCROSE  CAPRYLIC/CAPRIC TRIGLYCERIDE  CERA MICROCRISTALLINA (MICROCRYSTALLINE WAX/CIRE MICROCRISTALLINE)  SYNTHETIC WAX  POLYBUTENE  ETHYLHEXYL PALMITATE  SILICA DIMETHYL SILYLATE  DICALCIUM PHOSPHATE  PHENOXYETHANOL  BUTYROSPERMUM PARKII (SHEA) BUTTER  DIISOSTEARYL MALATE  TOCOPHEROL  BENZYL BENZOATE  FRAGRANCE (PARFUM)  CITRIC ACID
5389,"Signature Care Hand Sanitizer Spray, Aloe Vera (2020 formulation) Rating",Hand Sanitizer,Active Ingredients: ETHYL ALCOHOL 70.0%; Inactive Ingredients: WATER  GLYCERIN  ALOE BARBADENSIS LEAF EXTRACT  PROPYLENE GLYCOL  FRAGRANCE  TOCOPHERYL ACETATE
5390,"Cold Stone Creamery Flavored Lip Balm, Birthday Cake Remix Rating",Lip Balm,MINERAL OIL  BEESWAX  ETHYLHEXYL PALMITATE  CERESIN  HYDROGENATED POLYISOBUTENE  PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  TOCOPHEROL  PHENOXYETHANOL  FRAGRANCE  NEOTAME.
5391,"Touchland Power Mist Hydrating Hand Sanitizer, Wild Watermelon Rating",Hand Sanitizer,Active Ingredients: ETHYL ALCOHOL 70.0%; Inactive Ingredients: WATER  ALOE BARBADENSIS LEAF JUICE  LEUCONOSTOC/RADISH ROOT FERMENT LYSATE FILTRATE  GLYCERETH-26  CITRUS LIMON (LEMON) PEEL OIL  CITRUS AURANTIFOLIA (LIME) OIL  FRAGRANCE  RED 40.
5392,"Blossom Hydrating Lip Oil, Coconut Rating",Lip Balm,ETHYLHEXYL PALMITATE  TRIDECYL TRIMELLITATE  POLYISOBUTENE  OLEA EUROPAEA (OLIVE) FRUIT OIL  VITIS VINIFERA (GRAPE) SEED OIL  HYDROGENATED STYRENE/ISOPRENE COPOLYMER  CENTAUREA CYANUS FLOWER  SILICA DIMETHYL SILYLATE  TOCOPHEROL  FRAGRANCE (PARFUM)  CALCIUM ALUMINUM BOROSILICATE  TITANIUM DIOXIDE (CI 77891)  TIN OXIDE
5393,Dove Beauty 0% Aluminum Sensitive Skin Deodorant Stick - 2.6oz Rating,Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER  GLYCERIN  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE (PARFUM)  STEARIC ACID  DISODIUM EDTA  SIMETHICONE  BHT
5394,Elemental Herbs All Good Lips Original Organic Lip Balm Rating,Lip Balm,Organic Calendula*  Organic Comfrey*  Organic Lavender*  Organic Plantain* and Organic Yarrow* Infused in Organic Extra Virgin Olive Oil* with Organic Beeswax*  Organic Essential Oils* of Lemon  Orange  Lavender and Peppermint  and Non-GMO Vitamin E. *Certified Organic to USDA/NOP Standards.
5395,Nu Skin AP24 Whitening Fluoride Toothpaste (2020 formulation) Rating,Toothpaste,Active Ingredients: Sodium Monofluorophosphate 0.76%  Inactive Ingredients: water (Aqua)  hydrated Silica  Sorbitol  Aluminum Hydroxide  Glycerin  Tetrasodium Pyrophosphate  PEG-12  Dimethicone Poloxamer 338  Poloxamer 407  Cellulose Gum  Sodium Lauryl Sulfate  Flavor (Aroma)  Sodium Saccharin  Titanium Dioxide (CI 77891).
5396,"Burt's Bees Flavor Crystals Lip Balm, Red Raspberry Rating",Lip Balm,BEESWAX  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  COCOS NUCIFERA (COCONUT) OIL  FLAVOR  MALTODEXTRIN  RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT  BEHENYL OLIVATE  BUTYROSPERMUM PARKII (SHEA) BUTTER  HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX  RICINUS COMMUNIS (CASTOR) SEED OIL  EUPHORBIA CERIFERA (CANDELILLA) WAX  OLEA EUROPAEA (OLIVE) OIL UNSAPONIFIABLES  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  GLYCINE SOJA (SOYBEAN) OIL  GLYCERYL ROSINATE  HYDRATED SILICA  TOCOPHEROL  REBAUDIOSIDE A  BENZYL BENZOATE  BENZYL CINNAMATE  CITRAL  LIMONENE  LINALOOL
5397,Cbdistillery Broad Spectrum Hemp Extract Regular Strength Cbd Warming,Muscle/Joint Soreness,WATER  GLYCERYL STEARATE SE  CETEARYL ALCOHOL  GLYCERIN  CAPRYLIC/CAPRIC TRIGLYCERIDE  BUTYROSPERMUM PARKII (SHEA) BUTTER  COCOS NUCIFERA (COCONUT) OIL  CANNABIS SATIVA (HEMP) EXTRACT  CETEARYL OLIVATE  SORBITAN OLIVATE  CAMPHOR  CANNABIS SATIVA (HEMP) SEED OIL  ARGANIA SPINOSA (ARGAN) KERNEL OIL  PRUNUS ARMENIACA (APRICOT) KERNEL OIL  PERSEA GRATISSIMA (AVOCADO) OIL  LONICERA CAPRIFOLIUM (HONEY SUCKLE) EXTRACT  LONICERA JAPONICA (HONEY SUCKLE) FLOWER EXTRACT  ORYZA SATIVA (RICE) BRAN EXTRACT  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  HELIANTHUS ANNUUS (SUNFLOWER) EXTRACT  TOCOPHEROL  XANTHAN GUM  ALOE BARBADENSIS (ALOE VERA) LEAF JUICE  CITRIC ACID  HYDROXYETHYLCELLULOSE  CAPRYLYL GLYCOL  PHENOXYETHANOL  ETHYLHEXYLGLYCERIN
5398,"Burt's Bees Tinted Lip Balm, Pink Blossom (2020 formulation) Rating",Lip Balm,COCOS NUCIFERA (COCONUT) OIL  OLUS [VEGETABLE] OIL  CERA ALBA [BEESWAX]  OLEA EUROPAEA (OLIVE) FRUIT OIL  CANDELILLA CERA [EUPHORBIA CERIFERA (CANDELILLA) WAX]  HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  AROMA [FLAVOR]*  LANOLIN  BUTYROSPERMUM PARKII (SHEA) BUTTER  RICINUS COMMUNIS (CASTOR) SEED OIL  AMMONIUM GLYCYRRHIZATE  TOCOPHEROL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  GLYCINE SOJA (SOYBEAN) OIL  CANOLA OIL  ALUMINA. MAY CONTAIN (+/-): CI 77491 77492 77499 [IRON OXIDES]  CI 77891 [TITANIUM DIOXIDE]  CI 75470 [CARMINE]
5399,Colgate Optic White Enamel Strength Anticavity Fluoride Toothpaste Rating,Tooth Whitening,Active Ingredients: Sodium Monofluorophosphate 1.14% (0.19% w/v fluoride ion); Inactive Ingredients: POLOXAMER 105  PVP  CALCIUM PYROPHOSPHATE  PEG/PPG-116/66 COPOLYMER  HYDROGEN PEROXIDE (5% W/N)  SILICA  FLAVOR  SODIUM LAURYL SULFATE  TETRASODIUM PYROPHOSPHATE  SODIUM SACCHARIN  DISODIUM PYROPHOSPHATE  SUCRALOSE  BHT.
5400,"Schmidt's Kids Tooth + Mouth Paste, Coconut + Pineapple (2018",Toothpaste,WATER  GLYCERIN  HYDRATED SILICA  CALCIUM CARBONATE  XYLITOL  MAGNOLIA ACUMINATA (BLUE MAGNOLIA) BARK EXTRACT  LYCIUM BARBARUM (GOJI BERRY) FRUIT EXTRACT  PUNICA GRANATUM (POMEGRANATE) EXTRACT  SODIUM METHYL COCOYL TAURATE  NATURAL FLAVOR  XANTHAN GUM  COCOS NUCIFERA (COCONUT) OIL  STEVIA REBAUDIANA LEAF/STEM POWDER  ALOE BARBADENSIS LEAF EXTRACT  SODIUM BICARBONATE  ZINC CITRATE  TOCOPHEROL  MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL.
